Operator,Active,Idle,Plugged,New,Unknown,Total
"Reserve Oil, Inc.",0,0,30,0,0,30
Reynolds & Carver,0,0,30,0,0,30
"S. M. Reynolds, Opr.",0,0,30,0,0,30
"Northwest Petroleum, Inc.",0,5,24,0,0,29
Bradford Bishop,0,0,29,0,0,29
"Energy Development of California, Inc.",0,0,29,0,0,29
Franwin Oil And Gas Co.,0,0,29,0,0,29
G.E.C. Oil and Gas Operations,0,0,29,0,0,29
Gilmore Oil Co.,0,0,29,0,0,29
JXR Company,0,0,29,0,0,29
"Monterey Resources, Inc.",0,0,29,0,0,29
"S & C Oil Co., Inc.",14,1,13,0,0,28
"Nasco Petroleum, L.L.C.",9,19,0,0,0,28
Dalen Resources Oil & Gas Co.,0,0,28,0,0,28
Enerfin Resources Northwest Limited Partnership,0,0,28,0,0,28
Nord-Montara Petroleum Company,0,0,28,0,0,28
Pauley Petroleum Inc.,0,0,28,0,0,28
Petroleum Securities Co.,0,0,28,0,0,28
Potomac Wells,0,0,28,0,0,28
C & M Oil Co. & Investments,27,0,0,0,0,27
Wellington Oil Co.,0,27,0,0,0,27
"The Nahabedian Exploration Group, LLC",0,3,24,0,0,27
"Intercontinental Tech Group, Inc.",0,1,26,0,0,27
Bob Ferguson Independent,0,0,27,0,0,27
Tiger Oil Co.,0,0,27,0,0,27
"Daybreak Oil and Gas, Inc.",20,0,6,0,0,26
"R&R Resources, LLC",12,5,9,0,0,26
Hercules Oil Co.,0,24,2,0,0,26
Dwayne's Engineering,0,19,7,0,0,26
"Commander Oil Company, Ltd.",0,2,24,0,0,26
Victory Oil Company LLC,0,1,25,0,0,26
John M. Young,0,0,26,0,0,26
Trico Oil and Gas Company,0,0,26,0,0,26
"Howard E. Caywood, Inc.",11,2,12,0,0,25
"Bennett Petroleum, Inc.",7,12,6,0,0,25
"Freedom Oil Company, LLC",0,22,3,0,0,25
Apollo Energy Corporation,0,0,25,0,0,25
Condor Oil Company Inc.,0,0,25,0,0,25
El Dorado Exploration Co.,0,0,25,0,0,25
Neaves Petroleum Developments,0,0,25,0,0,25
Petrominerals Corp.,0,0,25,0,0,25
Supreme Oil & Gas Corporation,0,0,25,0,0,25
"Rare Petro Exploration, LLC",10,11,3,0,0,24
H.T. Olsen Oil & Gas Operations,4,12,8,0,0,24
College Oil Co.,0,24,0,0,0,24
Western Petroleum Co.,0,2,22,0,0,24
"Amerada Hess Corp., Operator",0,0,24,0,0,24
Great Western Drilling,0,0,24,0,0,24
Jordan Oil & Gas Company,0,0,24,0,0,24
"Gill Ranch Storage, LLC",20,0,3,0,0,23
Cimarron Oil LLC,18,0,5,0,0,23
Mission Oil Company,16,0,7,0,0,23
O'Brien-Sill,9,1,13,0,0,23
Beverly Hills Unified School District,0,3,18,2,0,23
Paris Valley Petroleum,0,1,22,0,0,23
"Yunker, Morton & Dolley",0,1,22,0,0,23
Black Velvet Petro. Co.,0,0,23,0,0,23
Frank Goldman,0,0,23,0,0,23
"Hamar Associates, LLC",0,0,23,0,0,23
Jacalitos Petroleum Co.,0,0,23,0,0,23
MCOR Oil and Gas Corporation,0,0,23,0,0,23
"Nevada Titan Energy, Inc.",0,0,23,0,0,23
Samedan Oil Corporation,0,0,23,0,0,23
Western Discovery USA Inc.,0,0,23,0,0,23
Wild Goose Storage LLC,22,0,0,0,0,22
National Oil Co.,0,21,1,0,0,22
Oak Ridge Oil Co.,0,1,21,0,0,22
"Bettie A. McBurney, Oper.",0,0,22,0,0,22
"Big West of California, LLC",0,0,22,0,0,22
CAPCO Resource Corporation,0,0,22,0,0,22
Davis Oil Co.,0,0,22,0,0,22
EHB Oil Company,0,0,22,0,0,22
Fountain Oil And Gas Co.,0,0,22,0,0,22
Hondo Oil & Gas Company,0,0,22,0,0,22
Patrick A. Doheny,0,0,22,0,0,22
"Santa Fe Minerals, Inc.",0,0,22,0,0,22
West Coast Oil Company,0,0,22,0,0,22
Ojai Oil Company,13,0,8,0,0,21
Newport Banning Ranch LLC,1,12,8,0,0,21
"AllenCo Energy, Inc.",0,21,0,0,0,21
C. Shirm,0,20,1,0,0,21
Davis Investment LLC,0,1,20,0,0,21
"Beach, Church & Bell",0,0,21,0,0,21
C. C. Killingsworth,0,0,21,0,0,21
E. A. Clampitt Co,0,0,21,0,0,21
Fred E. Cole,0,0,21,0,0,21
Green Oil Company,0,0,21,0,0,21
"Mark Morris, Inc",0,0,21,0,0,21
"Oakland Petroleum Operating Company, Inc.",0,0,21,0,0,21
Pacific American Oil Co,0,0,21,0,0,21
Santa Cruz Island Co.,0,0,21,0,0,21
Terepin Corp,0,0,21,0,0,21
"U. S. Natural Resources, Inc.",0,0,21,0,0,21
City of Newport Beach,11,5,4,0,0,20
"BRKNCO, LLC",7,6,7,0,0,20
"S & S Oil Company, LLC",0,20,0,0,0,20
Valid Energy Company,0,20,0,0,0,20
Kern Front-Section 35-Partners,0,19,1,0,0,20
L. A. R. R. Co.,0,19,1,0,0,20
Tetra Oil Company,0,11,9,0,0,20
Oceanic Oil Co.,0,7,13,0,0,20
Delaney Petroleum Corp.,0,3,17,0,0,20
Alpine Oil & Gas Corp.,0,0,20,0,0,20
Coast Exploration Company,0,0,20,0,0,20
"Gene Reid Drilling, Inc.",0,0,20,0,0,20
Horace Steele,0,0,20,0,0,20
"Kenneth H. Hunter, Jr.",0,0,20,0,0,20
Sargent Oil Co.,0,0,20,0,0,20
Shanley-Montara Petroleum Co.,0,0,20,0,0,20
Teal Petroleum Company,0,0,20,0,0,20
Venezia Oil Corp.,0,0,20,0,0,20
Wood-Callahan,0,0,20,0,0,20
Almond Crest Oil LLC,14,4,1,0,0,19
"Thompson Energy Resources, LLC",11,8,0,0,0,19
Redbank Oil Co.,9,5,5,0,0,19
"Concordia Resources, Inc.",8,10,1,0,0,19
Astarta Alexander Oil Co. LLC,0,17,2,0,0,19
"Western States International, Inc.",0,4,15,0,0,19
Tenneco Oil Company,0,1,18,0,0,19
Ann Marie Tiers,0,0,19,0,0,19
Carr and Wrath,0,0,19,0,0,19
"E. L. Doheny, Operator",0,0,19,0,0,19
L. M. Lockhart,0,0,19,0,0,19
N.E.C.K. Petroleum Company,0,0,19,0,0,19
Ogle Petroleum Inc.,0,0,19,0,0,19
Reserve Oil Company,0,0,19,0,0,19
"Royalty Service Corp., Ltd.",0,0,19,0,0,19
Selbar Oil Co.,0,0,19,0,0,19
Shanley-Montara Petro. Co.,0,0,19,0,0,19
South Coast Oil Corporation,0,0,19,0,0,19
The Hall-Baker Company,0,0,19,0,0,19
The Petrol Corp.,0,0,19,0,0,19
"Premier Pumping Unit Services, Inc.",10,5,3,0,0,18
California Oil Independents,0,17,1,0,0,18
Manley Oil Co.,0,17,1,0,0,18
Barnhart-Morrow Consolidated,0,1,17,0,0,18
Empire Oil Co.,0,1,17,0,0,18
Barto Oil Co.,0,0,18,0,0,18
Cal-L Expl. Corp.,0,0,18,0,0,18
Franco Western Oil Company,0,0,18,0,0,18
Hillside Oil Partners,0,0,18,0,0,18
Miller Oil Co.,0,0,18,0,0,18
Sumpf-Williams,0,0,18,0,0,18
"YLRICHARDS4ACRES2015, LLC",0,0,18,0,0,18
Zephyr Oil Co.,0,0,18,0,0,18
Bruce A. Holmes,6,3,8,0,0,17
I. W. Shirley,0,16,1,0,0,17
Alamo Oil Company,0,1,16,0,0,17
Phillips Petroleum Co.,0,1,16,0,0,17
West Side Rentals,0,1,16,0,0,17
Central Park Energy,0,0,17,0,0,17
ChevronTexaco Exploration & Production Company,0,0,17,0,0,17
"Foothill Energy, LLC",0,0,17,0,0,17
Gene Reid Exploration Company,0,0,17,0,0,17
H. T. Hilliard & Co.,0,0,17,0,0,17
Hershey Oil Corporation,0,0,17,0,0,17
Kernview Oil Co.,0,0,17,0,0,17
"Lobodo, Inc.",0,0,17,0,0,17
Morton and Sons,0,0,17,0,0,17
Nordic Oil Company,0,0,17,0,0,17
Oxy Petroleum Inc.,0,0,17,0,0,17
Pacific Supply Cooperative,0,0,17,0,0,17
Republic Petroleum Co.,0,0,17,0,0,17
Reserve Oil & Gas Co.,0,0,17,0,0,17
Russell L. Williams,0,0,17,0,0,17
Seaward Resources Inc.,0,0,17,0,0,17
Source Energy Corp.,0,0,17,0,0,17
Tom Jones,0,0,17,0,0,17
E & T Limited Liability Co.,16,0,0,0,0,16
"Plegel Oil Company, Inc.",14,2,0,0,0,16
"Optima Conservation Resources Exploration, LLC",13,2,1,0,0,16
"Renaissance Petroleum, LLC",9,0,0,7,0,16
C. Case Company,7,4,5,0,0,16
Axis Petroleum Co.,7,0,9,0,0,16
Dr. J. Von Gal-Scale,0,16,0,0,0,16
Coast Range Oil Co.,0,10,6,0,0,16
Parcan Oil Co.,0,2,14,0,0,16
"Sunset Exploration, Inc.",0,2,14,0,0,16
"H.L. Hall & Sons, LLC",0,1,15,0,0,16
Block Oil Co.,0,0,16,0,0,16
Cabeen Exploration Corp,0,0,16,0,0,16
"Center at Needham Ranch Land, LLC",0,0,16,0,0,16
Challenger Minerals Inc.,0,0,16,0,0,16
Crestmont Oil & Gas Company,0,0,16,0,0,16
CRG Properties Ltd.,0,0,16,0,0,16
E & E Prod.,0,0,16,0,0,16
Ebert & Brandt,0,0,16,0,0,16
J. F. Kosanke,0,0,16,0,0,16
Ken-Lynn Corporation,0,0,16,0,0,16
Lee Gibson Oil Company,0,0,16,0,0,16
Pacific Oil and Gas Development Corp.,0,0,16,0,0,16
Petrolex Inc.,0,0,16,0,0,16
Phillips Oil Company,0,0,16,0,0,16
R. B. Watkins,0,0,16,0,0,16
Rinde Oil Co.,0,0,16,0,0,16
"Titan Energy, Inc.",0,0,16,0,0,16
"Tri-State Petroleum, Inc.",0,0,16,0,0,16
Trio Petroleum Inc.,0,0,16,0,0,16
W. D. Newsom Consulting,0,0,16,0,0,16
Worldwide Energy Corp.,0,0,16,0,0,16
Duncan's Pumping Service,15,0,0,0,0,15
"Modus, Inc.",14,1,0,0,0,15
"Little Creek Properties, Inc.",10,0,5,0,0,15
"Summit Energy, LLC",8,5,2,0,0,15
"PRE Resources, LLC",7,4,4,0,0,15
Chambers & Mouren,4,0,11,0,0,15
Padre Oil Co.,1,10,4,0,0,15
Chas. V. Hall,0,15,0,0,0,15
Interstate Oil Corp.,0,7,8,0,0,15
Paul M. Woodward,0,6,9,0,0,15
United States Oil & Royalties Co.,0,6,9,0,0,15
Olinda Land Co.,0,5,10,0,0,15
Marport Oil Co.,0,3,12,0,0,15
Nate Bray (G. N.),0,2,13,0,0,15
Bishop Oil Company,0,1,14,0,0,15
Black Hawk Resources Corp.,0,0,15,0,0,15
Cake Corp.,0,0,15,0,0,15
Edward Nepple,0,0,15,0,0,15
Four Star Oil & Gas Company,0,0,15,0,0,15
Gilliland Oil & Land Co.,0,0,15,0,0,15
Havenstrite Oil Co.,0,0,15,0,0,15
J. C. Wilson,0,0,15,0,0,15
J. H. Maurer & Arthur C. Fisher,0,0,15,0,0,15
Lawrence Perryman,0,0,15,0,0,15
Marlyn Company,0,0,15,0,0,15
Nordon Corp. Ltd.,0,0,15,0,0,15
North Valley Oil & Gas Co.,0,0,15,0,0,15
PanCanadian Petroleum Company,0,0,15,0,0,15
Sage Oil Co.,0,0,15,0,0,15
"Central Valley Gas Storage, LLC",14,0,0,0,0,14
Coffee Petroleum,14,0,0,0,0,14
"Stone Cabin Resources, LLC",10,4,0,0,0,14
"Reabold California, LLC",7,3,4,0,0,14
"Drilling, Exploration & Operating Co., Inc.",5,0,9,0,0,14
"Amrich Energy, Inc.",2,10,2,0,0,14
"Ample Resources, Inc.",0,14,0,0,0,14
Knight & Sons,0,14,0,0,0,14
"Solimar Energy, LLC",0,13,1,0,0,14
Preuitt Production Service,0,9,5,0,0,14
E. L. Henthorn,0,8,6,0,0,14
H. W. Covert,0,5,9,0,0,14
"Sespe Lease, Inc.",0,5,9,0,0,14
Hartley Natural Resource Development,0,3,11,0,0,14
Leah C. Sewell & Barbara C. Jones,0,2,12,0,0,14
Rex Oil Co.,0,2,12,0,0,14
Calstar Petroleum Co.,0,1,13,0,0,14
R. R. Bush Oil Co.,0,1,13,0,0,14
Anadime Energy Services Inc.,0,0,14,0,0,14
Benton Oil & Gas,0,0,14,0,0,14
Brookline Oil Co.,0,0,14,0,0,14
California Southern Oil Co.,0,0,14,0,0,14
Chester F. Dolley,0,0,14,0,0,14
Chowchilla Gas Company,0,0,14,0,0,14
E. T. Willard,0,0,14,0,0,14
Estate of Kenneth Mills,0,0,14,0,0,14
Ferguson & Bosworth & Associates,0,0,14,0,0,14
"G. R. Nance Co., Inc.",0,0,14,0,0,14
"George J. Peckham, Jr.",0,0,14,0,0,14
Graham-Loftus Oil Corp.,0,0,14,0,0,14
Harold C. Morton,0,0,14,0,0,14
Harold C. Ramser,0,0,14,0,0,14
"J. I. Hathaway, Opr.",0,0,14,0,0,14
James H. Elison,0,0,14,0,0,14
Julian Petroleum Corp.,0,0,14,0,0,14
Los Nietos Co.,0,0,14,0,0,14
"Nana Oil & Gas, Inc.",0,0,14,0,0,14
P. H. & B. Oil Co.,0,0,14,0,0,14
Pinal Dome Corporation,0,0,14,0,0,14
Prado Petroleum Co.,0,0,14,0,0,14
Scott Oil Co.,0,0,14,0,0,14
"Vintage Petroleum, Inc.",0,0,14,0,0,14
Wilrich Development Co.,0,0,14,0,0,14
Fourstar Resources LLC,12,1,0,0,0,13
